# Initial guess: [1.06799634e-01 2.55321489e+00 1.44442457e+02]
# Polynomial degree: 2
#         2
# 0.2036 x + 1.411 x + 147.6
# dam bottom method: grwl_intersection
CumArea,Elevation,Storage,Storage (mil. m3),Elevation_Observed
0.0,147.5786590576172,0.0,0.0,
0.25,147.94411698814406,45682.24131585907,0.045682241315859066,
0.5,148.33503068577411,185910.93615133403,0.18591093615133403,
0.75,148.75140015050735,427050.0262822203,0.42705002628222033,
1.0,149.19322538234383,775463.4534843205,0.7754634534843206,
1.25,149.66050638128345,1237515.1595334336,1.2375151595334335,
1.5,150.15324314732632,1819569.0862053586,1.8195690862053586,
1.75,150.67143568047234,2527989.175275895,2.5279891752758945,
2.0,151.2150839807216,3369139.368520841,3.369139368520841,
2.25,151.78418804807404,4349383.607716,4.349383607716,
2.5,152.37874788252967,5475085.834637167,5.4750858346371665,
2.75,152.9987634840885,6752609.991060141,6.75260999106014,
2.925,153.4479205866061,7740429.512162911,7.74042951216291,153.0
3.0,153.64423485275054,8187985.911817496,8.187985911817496,
3.25,154.31516198851577,9788245.752571488,9.788245752571488,
3.27,154.36993584851584,9923523.54978946,9.92352354978946,154.0
3.5,155.01154489138418,11559302.25162601,11.559302251626008,
3.562,155.1881871821663,12025617.08433381,12.025617084333808,155.0
3.75,155.73338356135582,13507456.831392858,13.507456831392858,
3.899,156.17570637513933,14755463.832076786,14.755463832076785,156.0
4.0,156.48067799843062,15639166.678122733,15.639166678122733,
4.221,157.16248401083308,17681852.428412974,17.681852428412974,157.0
4.25,157.25342820260866,17961102.04283698,17.961102042836977,
4.5,158.05163417388985,20479570.075494997,20.479570075494998,
4.51,158.08409189269685,20584462.115251757,20.584462115251757,158.0
4.75,158.87529591227428,23200710.47802017,23.200710478020167,
4.784,158.98928031579175,23586733.865938306,23.586733865938303,159.0
5.0,159.72441341776187,26130822.432716783,26.130822432716784,
5.088,160.02936003038727,27213066.467365034,27.21306646736503,160.0
5.25,160.5989866903527,29276219.784410987,29.276219784410987,
5.37,161.02782374967134,30864389.323898368,30.864389323898365,161.0
5.5,161.4990157300467,32643408.212589804,32.643408212589804,
5.631,161.98079512918144,34498531.4873214,34.4985314873214,162.0
5.75,162.42450053684388,36238786.15159346,36.23878615159346,
5.884,162.93103920890368,38262067.00083785,38.262067000837845,163.0
6.0,163.37544111074428,40068718.408693835,40.06871840869383,
6.101,163.76684056179664,41683959.06833781,41.68395906833781,164.0
6.25,164.35183745174788,44139580.38076192,44.13958038076192,
6.301,164.55414847715903,45000171.41001057,45.000171410010566,165.0
6.5,165.35368955985467,48457848.14222761,48.45784814222761,
6.566,165.6224257602245,49639868.44998749,49.63986844998749,166.0
6.75,166.38099743506467,53029710.11735254,53.029710117352536,
6.795,166.56861625506883,53880036.76778777,53.880036767787765,167.0
7.0,167.43376107737785,57861655.33755203,57.86165533755203,
7.054,167.66450107909964,58940060.826665595,58.940060826665594,168.0
7.25,168.51198048679424,62959938.84483023,62.959938844830226,
7.298,168.72191156774335,63969776.61937351,63.969776619373505,169.0
7.5,169.61565566331382,68330981.78007162,68.33098178007161,
7.554,169.85739255642417,69527506.49289322,69.52750649289321,170.0
7.75,170.7447866069366,73981102.8756096,73.98110287560961,
7.815,171.04253030693002,75496577.83656515,75.49657783656515,171.0
8.0,171.89937331766257,79916651.99618079,79.91665199618079,
8.117,172.4484642597515,82794297.38471833,82.79429738471832,172.0
8.25,173.07941579549174,86143939.7537289,86.14393975372889,
8.394,173.77067432994028,89865819.33846313,89.86581933846313,173.0
